timestamp,nodes,edges,components,density,bridges,diameter,transitivity,average_clustering,degree_assortativity,label_communities,lpa_communities,label_non_randomness,lpa_non_randomness,label_relative_non_randomness,lpa_relative_non_randomness
20191110,4655,27884,1,0.0025741805554465695,1322,7,0.07042550162215806,0.2862916747885852,-0.29287794675900386,7,13,76.29763213487495,31.67936081173312,-29.206949356930014,-148.83126375211438
20191111,4650,27828,1,0.002574539096163587,1321,7,0.0705058613344589,0.28596532091547544,-0.2932179272739146,6,14,51.63028314918053,10.96106131476412,-61.20689416949744,-172.2170177622234
20191113,4614,27464,1,0.002580671592907889,1312,7,0.07048753479442807,0.2852307384250815,-0.29406399270592276,6,13,51.42367141378614,31.540651146292664,-60.7562232932321,-147.73659914720204
20191118,4389,24510,1,0.0025453124815020896,1305,9,0.06778543597381845,0.2688274769379545,-0.29069824182225584,8,13,47.71862941580648,27.001022754063932,-87.57916269695211,-143.1972252017397
20200127,4084,24595,1,0.002949929990886941,1227,6,0.07958307783051596,0.22509604455858373,-0.2700162225212822,14,23,51.71539647272505,33.85726638556673,-123.65359958579428,-154.75956824994222
20200128,4082,24619,1,0.0029557031119343343,1227,6,0.08029627430849948,0.22563800845197957,-0.27054105048697924,15,21,32.90398434471274,69.14661333293083,-143.80285988533512,-130.12511702333344
20200129,4088,24647,1,0.0029503839437441137,1234,7,0.0804955699579299,0.22494978910833902,-0.271116608554297,13,22,32.8890237813925,51.495631513347625,-139.09141430595255,-143.0976051580844
20200130,4064,24604,1,0.002980129883469218,1198,7,0.07977921057431911,0.22544351145437996,-0.2722900172213128,18,20,14.429541374391302,51.14655445983824,-162.81889981623428,-139.8839190766349
20200202,4747,27394,1,0.0024318595078702534,1467,7,0.07442831073467825,0.2708738183246072,-0.29254364101947694,11,18,77.69836678258429,54.01918120524443,-79.31709188106886,-139.0693106487681
20200203,4915,28582,1,0.0023668129466705256,1502,6,0.07278822564838361,0.2790184790663971,-0.2984616947629243,9,15,78.71382655159887,-6.599916679592027,-56.87919666301767,-192.6122956669604
20200205,4945,28874,1,0.0023620668780534094,1504,7,0.0731230859315688,0.2796027598790733,-0.2977814612211508,12,16,57.11483339183698,14.486799401685921,-116.38954725814725,-173.79395741224357
20200210,4967,28739,1,0.002330240643421775,1535,7,0.07250347763773553,0.2760429243556941,-0.298433104225889,12,16,56.91893580067812,-26.245355061828366,-115.83203411246333,-211.2661122467524
20200211,4967,28745,1,0.0023307271406506464,1537,7,0.07249616067277527,0.2752310276543043,-0.2978036223734655,11,20,79.37081976808703,54.470285625845804,-79.18923127740132,-146.83539129329878
20200212,4997,28916,1,0.002316522018895885,1542,7,0.07243560507639157,0.2761525367309197,-0.29842251507389067,15,16,-6.3569547394638555,14.605002460962854,-193.5362335479977,-173.7638901990333
20200213,5015,29155,1,0.002318930722789748,1548,7,0.0724265541345995,0.27542009228851355,-0.29826451213280253,11,17,79.82144305880537,35.084005441909724,-79.5622507064559,-157.4489975291479
20200216,5047,29418,1,0.0023102692007849167,1551,7,0.07250181890830291,0.2753965276897007,-0.2987071873971288,7,16,79.09084825342673,14.915293417629435,-20.123517900433672,-174.9655993853185
20200217,5069,29746,1,0.002315792653333485,1535,7,0.0727624864438492,0.2777528046594753,-0.298680297813292,7,16,79.46658496822955,15.051065972096723,-20.471953782369894,-175.81658476212465
20200219,5070,29841,1,0.002322272170671946,1527,7,0.07306834493567518,0.2788533229314949,-0.29903706268570923,11,14,80.59906781726517,57.46317843182168,-80.60279655283135,-128.71180787307665
20200224,5032,29362,1,0.0023196404865351516,1524,7,0.07252057413213611,0.2834620592468005,-0.30173375619667064,13,15,35.62784069836697,35.74758551516138,-147.4681538634422,-153.0472463376416
20200225,5036,29383,1,0.002317613086472532,1520,7,0.07248452091580697,0.28483766980136793,-0.30210276701981736,8,13,104.49344022977787,35.75698076569213,5.636386030251919,-147.3696533402564
20200226,5044,29407,1,0.0023121535445446715,1528,7,0.07249677368942543,0.28436493758983705,-0.302548508951834,10,14,103.45482957015903,14.441982816659966,-34.41445021850797,-173.13302057688318
20200227,5049,29289,1,0.0022983164355402635,1536,7,0.0717856225075428,0.28371748748095366,-0.30240635448445885,10,13,103.05481656580224,35.31562466340189,-34.24285038106443,-147.47184342141844
20200301,5053,29194,1,0.002287235901189278,1555,7,0.0723363439713296,0.28157082924026816,-0.3046225747103326,8,16,54.28538170303007,14.93712890006141,-85.94355155296213,-174.25169387638243
20200302,5099,29257,1,0.0022509971454952628,1595,7,0.07250777517806739,0.2784129778211832,-0.30409017598924304,8,15,54.177019674947246,35.683128023329985,-85.6306608964912,-152.41007766364967
20200304,5098,29243,1,0.0022508028438177736,1596,7,0.07256419792594643,0.27748808917818735,-0.304437150927558,10,16,103.1672271988197,56.475993978815566,-32.427551502255454,-135.08959451599785
20200309,5108,29153,1,0.0022350976495325793,1612,7,0.07251386245408888,0.2769729287081446,-0.30777229327429007,10,19,103.47167099307183,36.24759682032043,-31.209232471917105,-159.70161456842723
20200310,5106,29060,1,0.002229713425046219,1618,7,0.07251604253355402,0.2765525848652046,-0.3079306197480111,11,16,80.24792929586937,15.353036238158012,-76.88870927265206,-173.3961009448042
20200311,5099,28859,1,0.0022203755211350376,1621,7,0.07248347867257478,0.27618210595716136,-0.30901960456179606,9,16,79.30112044079043,15.08488678466179,-53.08544602174931,-173.0392692499768
20200312,5088,28728,1,0.002219864916490796,1624,7,0.07246284493548072,0.2759994564622008,-0.30912272928949336,10,17,102.69735841711582,35.52853963922039,-30.635484348104637,-155.31003514366938
20200315,5046,28252,1,0.002219579865239794,1604,7,0.07199917744087506,0.2776355766170992,-0.31048828692426134,12,20,56.77809194236441,54.689021324191884,-113.13517223014867,-144.3888011312106
20200316,5065,28381,1,0.002213015942822299,1601,6,0.07181484121977454,0.27956852690977074,-0.31147312668530774,14,21,56.58647196228359,73.97046313449741,-124.12337107297854,-132.77866681609518
